ID,Name,Longitude,Latitude,Altitude,Type
2214,Babno Polje,14.544895923534867,45.64518171445834,755,2
1787,Kobilje,16.39362750550364,46.68273466378552,185,1
1688,Šmarata,14.468666316990344,45.68869346840843,579,1
1812,Gorenje Blato,14.588365102823463,45.96045795473497,315,1
1611,Planina - Hasberg,14.263818952789162,45.82600594717206,462,1
1728,Fužina,14.832801888029683,45.85948683967881,243,1
1782,Cirkulane,15.9937777327539,46.344694619757554,233,1
1750,Solčava,14.691352413161841,46.420325282223445,639,1
1637,Zgornja Radovna,13.942700944605352,46.42822876747218,755,1
1669,Godnje,13.84390506261774,45.75495966282086,320,2
1681,Logatec,14.202973646865557,45.907750264187776,485,1
1659,Lokve (Nova Gorica),13.79400621213694,46.010122471695624,946,1
1677,Razdrto,14.059218298478534,45.75694107457749,577,1
2384,Rovte,14.173378968378005,45.986064791241425,700,1
2253,Cerklje - letališče,15.528697836462136,45.89425846499566,154,3
4762,Podgorje (Apače),15.818928809776418,46.70601555986137,229,1
4718,Lipe,14.463303360561085,45.98929193155375,287,1
4759,Hrib - Loški Potok ,14.593312055446319,45.70401420569874,834,1
4760,Trava,14.67276472445215,45.60494495632911,765,1
4763,Mokronog - Hrastovica,15.150739294665797,45.96301614250302,240,1
1613,Kamniška Bistrica,14.58571082166106,46.32923880012097,615,1
2212,Ambrož pod Krvavcem,14.528223126894526,46.27188429673605,977,1
1624,Žiri,14.119811249828237,46.048137043551684,498,1
1627,Železniki,14.157601731754628,46.21445339540449,476,1
1628,Dražgoše,14.176813183348955,46.25334487658803,857,1
1889,Podljubelj,14.284115134442207,46.40008180935284,680,1
1635,Breg (Žirovnica),14.127395725151771,46.39993164361118,543,1
1890,Kredarica,13.848899669767079,46.378703770120936,2513,3
1086,Rateče,13.712896114352766,46.4970891735494,864,2
1899,Rateče,13.712896114352766,46.4970891735494,864,3
1643,Trenta,13.753929243279245,46.38241538385906,622,1
1644,Soča,13.666113991005956,46.342107990078354,485,1
1654,Vojsko (Idrija),13.902072455023472,46.025381526932215,1065,2
1656,Črni Vrh (Idrija),14.044105901267963,45.925384966818335,688,1
1662,Plave,13.587402536739987,46.03975486674379,86,1
3001,Bilje,13.623984301016481,45.8955597030988,55,1
1923,Bilje,13.623984301016481,45.8955597030988,55,3
1664,Zalošče,13.747593464231093,45.88750458990655,75,1
1665,Šempas,13.737631451027655,45.93200697417904,85,1
1668,Opatje selo,13.580971066872284,45.85239264394507,165,1
1672,Seča,13.607162135106325,45.49391548534868,2,1
1674,Rakitovec (Koper),13.960065510613374,45.467414902506235,504,1
1922,Postojna,14.193174033768292,45.76605272819711,533,2
1679,Hrušica pri Colu,14.111821534006543,45.86388943599191,872,1
1680,Hotedršica,14.138947735397249,45.93141017713688,550,1
381,Cerknica,14.36335706164509,45.79563996452506,569,1
1691,Prigorica,14.738755283000343,45.711860488549064,484,1
3145,Gomilsko,15.042891380717183,46.25228216685779,293,1
3039,Novi Lazi,14.849893538760233,45.571991068345916,545,1
1698,Lučine,14.201657436247329,46.06265612962714,642,1
1700,Topol pri Medvodah,14.37038990142767,46.09306666983828,662,2
1895,Ljubljana Bežigrad,14.5123590017194,46.0655056158452,299,3
1735,Črnomelj - Dobliče,15.146185815940287,45.55997841674866,157,2
1786,Lendava,16.472355263560964,46.55686099481639,190,2
3049,Letališče Jožeta Pučnika Ljubljana,14.47844228889051,46.211377646731776,362,3
2665,Dravograd,15.028279617170696,46.591926415153665,384,1
3161,Podzemelj,15.275723551045138,45.60819348123685,153,1
4593,Laško,15.29159955683659,46.14491681090095,314,1
1714,Ložice,15.436241925284497,46.051742749677075,565,1
1715,Žusem (Dobrina),15.490182414571978,46.150676705088124,623,1
1720,Kostanjevica - Brod,15.455289436014398,45.8649725099124,150,1
1721,Smednik,15.378511106531706,45.90973061990165,186,1
1726,Malkovec,15.204891602533344,45.953114388333944,397,2
1893,Novo mesto,15.17726342749599,45.801815769654624,220,3
1734,Cerovec pri Črešnjevcu,15.24444040153864,45.65483154225909,191,1
1736,Gorenjci pri Adlešičih,15.31784252940329,45.51392372714022,232,1
1737,Sinji Vrh,15.165638053924008,45.45022354365891,365,1
1738,Predgrad,15.054158647540174,45.50544883644125,375,1
1753,Podpeca,14.819441781334742,46.49702676072265,942,1
1762,Zbelovska Gora,15.522519493022578,46.287986315390604,275,1
2375,METLIKA,15.32380421260626,45.6464444235903,152,2
1803,Grm,14.868840941180224,45.94582311374917,330,1
1902,Maribor - letališče,15.68178979397476,46.47966612734431,264,3
1775,Ribnica na Pohorju,15.291460743282586,46.541495797059284,583,1
1894,Murska Sobota,16.191280639432826,46.652077673714544,187,3
1790,Kančevci,16.231848900652125,46.75026071564522,343,1
2339,Grčarice,14.754532269662805,45.65172393872927,520,1
2302,Selo pri Vodicah,14.515362673576867,46.15830134914206,320,1
286,Dolenje Medvedje selo,15.02236658365589,45.912853550783765,272,1
3331,Vojnik,15.291477992779951,46.3045847729204,286,1
1712,Čemšenik,14.936717592641628,46.18490196687356,767,1
1748,Gornji Grad,14.807661477801108,46.296048188864575,430,1
1758,Bele Vode,14.943204424415866,46.42179412872998,1026,1
1641,Kranjska Gora,13.789085293364463,46.486466711292024,802,1
1897,Šmartno pri Slovenj Gradcu,15.1112254237232,46.48956189022154,444,3
